strategy,total_trades,profitable_trades,losing_trades,win_rate_pct,total_profit,avg_profit,max_profit,max_loss
SMAStrategy10,80,30,50,37.5,5730.7487786156225,71.63435973269529,3746.013610839844,-787.5997314453125
SMAStrategy30,35,13,22,37.14,10092.966139943894,288.3704611412541,6389.600830078125,-574.2166444182533
GoldenCrossStrategy1030,5,4,1,80.0,4251.487765524179,850.2975531048357,1661.899796754038,-25.04277767580533
